Config, Score for All Resolutions, Min Score, Max Score, Cycles, Mem Efficiency (%), #1 bottleneck, #2 bottleneck, #3 bottleneck, #4 bottleneck, #5 bottleneck,#1 IF Improv % [activity], #2 IF Improv % [activity], #3 IF Improv % [activity], #4 IF Improv % [activity], #5 IF Improv % [activity],Ave FPS, Min FPS, Max FPS, Time (ms), Min App, Max App
Navi10-256b-14m-2100e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-4096K-4PreCull-4PostCull-BC,1.422,1.215356,1.585788,151737386101.837,53.2,MCS (25.4%),ALU (19%),SPI (14.4%),PS GPR (12%),TCP (8.6%),MCS (8.3%) [100.0],ALU (5.6%) [87.8],SPI (4.8%) [68.9],PS GPR (2.3%) [NaN],TCP (0.6%) [74.7],102.21,36.32,51737.6,72255.9,thief_veryhigh_3840x2160x32,3dm11_32bit_12x7_dx11_gt3_perf
Navi10-256b-14m-2100e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-8192K-4PreCull-4PostCull-BC,1.4404,1.248437,1.609845,149645280085.362,49.2,MCS (22.5%),ALU (20.5%),SPI (14.8%),PS GPR (11.9%),TCP (9%),MCS (7.1%) [100.0],ALU (5.9%) [91.7],SPI (5.2%) [72.1],PS GPR (2.4%) [NaN],TCP (0.6%) [78.0],103.64,36.33,53003.91,71259.66,thief_veryhigh_3840x2160x32,Rome2_19x10_AA_Extreme
Navi10-256b-14m-2100e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-16384K-4PreCull-4PostCull-BC,1.4662,1.32061,1.645361,146183434672.84,47,ALU (22%),MCS (16.9%),SPI (15.8%),PS GPR (12.5%),TCP (9.5%),ALU (6.6%) [100.0],MCS (5.4%) [97.1],SPI (5.7%) [78.5],PS GPR (2.5%) [NaN],TCP (0.7%) [85.1],106.09,36.39,55273.19,69611.16,thief_veryhigh_3840x2160x32,3dm11_32bit_12x7_dx11_gt3_perf
Navi10-256b-14m-2100e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-32768K-4PreCull-4PostCull-BC,1.4887,1.341726,1.684933,143869248415.754,43.8,ALU (22.5%),SPI (16.8%),MCS (12.7%),PS GPR (12.7%),TCP (10.1%),ALU (7.2%) [100.0],SPI (6.3%) [78.5],MCS (4%) [85.5],PS GPR (2.6%) [NaN],TCP (0.7%) [85.1],107.8,36.42,59222.01,68509.17,SleepingDogs_25x16_FXAA_SSAA_Extreme,3dm11_32bit_12x7_dx11_gt3_perf
Navi11-128b-14m-2100e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-1024K-2PreCull-2PostCull-BC,0.7089,0.5997943,0.7970775,306598557791.598,56.4,MCS (34.6%),ALU (17%),SPI (13.2%),PS GPR (11.4%),TCP (7.8%),MCS (12.2%) [100.0],ALU (5.4%) [78.0],SPI (4.2%) [61.3],PS GPR (2.3%) [NaN],TCP (0.6%) [66.4],50.58,18.02,33862.47,145999.31,thief_veryhigh_3840x2160x32,3dm11_32bit_12x7_dx11_gt3_perf
Navi11-128b-14m-2100e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-2048K-2PreCull-2PostCull-BC,0.6971,0.6034642,0.8018941,313118357737.986,57.2,MCS (37%),ALU (17%),SPI (12.2%),PS GPR (10.8%),TCP (7.6%),MCS (13.6%) [100.0],ALU (5.3%) [73.6],SPI (3.9%) [57.8],PS GPR (2.2%) [NaN],TCP (0.5%) [62.6],49.53,17.78,34117.27,149103.98,thief_veryhigh_3840x2160x32,3dm11_32bit_12x7_dx11_gt3_perf
Navi11-128b-14m-2100e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-4096K-2PreCull-2PostCull-BC,0.735,0.6114947,0.8210534,296674537571.806,53.2,MCS (27%),ALU (19.7%),SPI (14.8%),PS GPR (12.4%),TCP (8.8%),MCS (9%) [100.0],ALU (5.9%) [87.8],SPI (5%) [68.9],PS GPR (2.4%) [NaN],TCP (0.6%) [74.7],52.27,18.17,35542.28,141273.59,thief_veryhigh_3840x2160x32,3dm11_32bit_12x7_dx11_gt3_perf
Navi11-128b-14m-2100e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-8192K-2PreCull-2PostCull-BC,0.7452,0.6284161,0.8356011,292406086830.174,49.3,MCS (24%),ALU (21.3%),SPI (15.3%),PS GPR (12.3%),TCP (9.2%),MCS (7.8%) [100.0],ALU (6.2%) [91.7],SPI (5.3%) [72.1],PS GPR (2.5%) [NaN],TCP (0.7%) [78.0],53.04,18.17,36748.52,139240.99,thief_veryhigh_3840x2160x32,3dm11_32bit_12x7_dx11_gt3_perf
Navi12-384b-14m-2100e-4SE8SA-80CU-32RB-32TCC-12MC-DCC-PBB-32768K-8PreCull-4PostCull-BC,2.6246,2.243379,2.996355,80775934974.0209,39.1,MCS (21.7%),ALU (18.4%),SPI (12.7%),VS Wave (11.8%),PS GPR (11.2%),MCS (7.4%) [100.0],ALU (5.4%) [87.7],SPI (4.4%) [68.9],VS Wave (7.7%) [27.4],PS GPR (2.2%) [NaN],191.99,72.67,67699.83,38464.73,SleepingDogs_25x16_FXAA_SSAA_Extreme,Rome2_19x10_AA_Extreme
Navi10-256b-14m-2200e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-2048K-4PreCull-4PostCull-BC,1.3967,1.231293,1.605679,162214949898.25,57.3,MCS (37.8%),ALU (15.4%),SPI (11.2%),PS GPR (10.3%),TCP (7.1%),MCS (13.9%) [100.0],ALU (4.9%) [70.7],SPI (3.6%) [55.6],PS GPR (2.1%) [NaN],TCP (0.5%) [60.2],100.16,37.15,51797.61,73734.07,thief_veryhigh_3840x2160x32,3dm11_32bit_12x7_dx11_gt3_perf
